"stop_id","stop_name","stop_lon","stop_lat","stop_code"
"921783","Dankelsheim Schülerkamp",10.03402,51.894897,""
"921784","Ackenhausen Meinesiedlung",10.032923,51.884461,""
"921683","Brunshausen(Bad Gandersheim) Hildesheimer Straße",10.029975,51.880721,""
"921685","Bad Gandersheim Albert-Rohloff-Straße",10.029813,51.872568,""
"894131","Dankelsheim Ortsmitte",10.008482,51.90092,""
"921682","Clus(Bad Gandersheim) Ortsmitte",10.007862,51.884838,""
"890573","Pöhlde Herzberger Straße",10.32225,51.612726,""
"894694","Northeim Mühlentor",10.001578,51.70856,""
"891107","Gieboldehausen Martin-Luther-Ring",10.221607,51.602604,""
"891101","Gieboldehausen Göttinger Landstraße",10.208384,51.603395,""
"891150","Obernfeld Wurthweg",10.232295,51.558494,""
"891203","Ebergötzen Seeburger Straße",10.115768,51.57365,""
"894451","Gillersheim Emil-Koch-Straße",10.095704,51.634264,""
"898248","Oberhaverbeck Ortsmitte",9.920612,53.142735,""
"891023","Reimerdingen Ost",9.812175,53.053319,""
"898190","Ahlfden",9.843593,53.010243,""
"909586","Winsen(Aller) Küsterdamm",9.906535,52.680806,""
"908294","Esperke Lange Straße",9.609999,52.635554,""
"908280","Esperke Postweg",9.608812,52.632273,""
"908281","Esperke Neustädter Straße",9.606691,52.632947,""
"908288","Esperke Osterberg",9.603949,52.628534,""
"908485","Niedernstöcken Friedhof",9.573925,52.652841,""
"908270","Stöckendrebber Süd",9.573898,52.661452,""
"908268","Niedernstöcken Molkerei",9.573826,52.649434,""
"908266","Niedernstöcken Süd",9.573683,52.641694,""
"908264","Brase Dinstorf",9.573683,52.633972,""
"908260","Brase Abzweig",9.572927,52.625837,""
"908272","Stöckendrebber Löxterstraße",9.572883,52.666405,""
"908483","Laderholz Wassermühle",9.48771,52.626502,""
"945089","Esens Hoher Weg",7.625118,53.63173,""
"925361","Wiesmoor Schulzentrum",7.733663,53.41571,""
"906932","Fuhrberg Zur alten Burg",9.851773,52.564854,""
"906935","Fuhrberg Alte Burgwedeler Straße",9.847988,52.563578,""
"906937","Fuhrberg Dorfstraße",9.843988,52.562787,""
"909320","Ramlingen Messenberg",9.996355,52.509463,""
"906796","Engensen Am Lahberg",9.951086,52.514676,""
"906740","Engensen Finkenweg",9.94811,52.506721,""
"906760","Engensen Alter Postweg",9.94402,52.501031,""
"906788","Engensen Kapellenstraße",9.940622,52.497938,""
"906659","Wettmar Hinter den Höfen",9.928586,52.507467,""
"906784","Wettmar Celler Weg",9.924621,52.509948,""
"906782","Wettmar Lönsweg",9.92072,52.513759,""
"906778","Wettmar Schule",9.918059,52.510568,""
"906786","Wettmar Moodweg",9.91432,52.516879,""
"906798","Wettmar Gartenstraße",9.912621,52.513013,""
"906780","Wettmar Thönser Trift",9.909151,52.51544,""
"906794","Thönse Engenser Straße",9.906499,52.494738,""
"906774","Thönse Wettmarer Straße",9.906436,52.495484,""
"906772","Thönse Bruchstraße",9.902652,52.493453,""
"906776","Thönse Kleinburgwedeler Straße",9.895631,52.493983,""
"906973","Kleinburgwedel Radenstraße",9.883694,52.508735,""
"906920","Kleinburgwedel Bergstraße",9.877788,52.509732,""
"906922","Kleinburgwedel Im Heidewinkel",9.870884,52.524151,""
"906924","Kleinburgwedel Tempelweg",9.870318,52.51313,""
"906968","Kleinburgwedel Lerchenstraße",9.868879,52.509642,""
"906501","Großburgwedel Rhadener Weg",9.867468,52.498694,""
"906465","Großburgwedel Thönser Straße",9.862542,52.493884,""
"906461","Großburgwedel Rathaus",9.86211,52.494478,""
"906792","Großburgwedel Burgdorfer Straße",9.861625,52.489713,""
"906463","Großburgwedel Krankenhaus",9.860474,52.49446,""
"906926","Kleinburgwedel Würmseeweg",9.86034,52.517571,""
"906441","Großburgwedel Von-Alten-Straße",9.860088,52.492473,""
"906421","Großburgwedel Schulzentrum",9.859522,52.484572,""
"906431","Großburgwedel Pestalozzistift",9.859423,52.487996,""
"906491","Großburgwedel Bahnhof",9.858083,52.506218,""
"906483","Großburgwedel Pappelweg",9.856825,52.502874,""
"906928","Kleinburgwedel Seckhorn",9.856052,52.532583,""
"906481","Großburgwedel Am Schützenplatz",9.855953,52.499413,""
"906451","Großburgwedel Am Markt",9.854299,52.491844,""
